Line list produced by pgo v8.0.305 32 bit (Delphi 18.5/18)	8000305
Molecule	Upper Manifold	J'	Sym'	#'	Lower Manifold	J"	Sym"	#"	Position	Intensity	Eupper	Elower	Spol	A	Width	Branch	Label
Mola	Ground	6	A	13	Ground	5	A	9	84781.5723322106	6.82982449338987E-8	191410.648010058	106629.075677847	0.000190917338135537	3.12512780287727E-10	0	sR4,1(5)	Mola v=0  6  6  0 - v=0  5  4  1
Mola	Ground	6	A	10	Ground	5	A	10	22824.2003927225	5.92872710882531E-5	157333.275362275	134509.074969553	0.611260249861344	1.95222954896435E-8	0	qR5,1(5)	Mola v=0  6  5  2 - v=0  5  5  1
Mola	Ground	6	A	11	Ground	5	A	11	22824.2020578019	5.92872749521983E-5	157333.277193988	134509.075136186	0.611260249867771	1.95222997624421E-8	0	qR5,0(5)	Mola v=0  6  5  1 - v=0  5  5  0
Mola	Ground	5	A	9	Ground	6	A	1	27475.588987918	1.70910332663712E-10	106629.075677847	79153.4866899289	9.57183506167471E-7	6.30238484301324E-14	0	uP0,6(6)	Mola v=0  5  4  1 - v=0  6  0  6
Mola	Ground	5	A	6	Ground	6	A	2	4287.93860631945	9.123229818707E-9	84954.6632440444	80666.724637725	0.000302627428297883	7.5739536398844E-14	0	sP1,6(6)	Mola v=0  5  3  3 - v=0  6  1  6
Mola	Ground	5	A	7	Ground	6	A	3	120.478568451901	4.91646562208799E-10	84962.8250250871	84842.3464566352	0.000590254816678874	3.27670704375623E-18	0	sP1,5(6)	Mola v=0  5  3  2 - v=0  6  1  5
Mola	Ground	5	A	8	Ground	6	A	4	14501.4621174682	7.63854905083331E-9	106629.009635512	92127.5475180438	8.54944195938517E-5	8.27640672534852E-13	0	sP2,5(6)	Mola v=0  5  4  2 - v=0  6  2  5
Mola	Ground	5	A	9	Ground	6	A	5	13855.3445691205	7.49909182020773E-9	106629.075677847	92773.7311087264	8.8079270831083E-5	7.43694179088818E-13	0	sP2,4(6)	Mola v=0  5  4  1 - v=0  6  2  4
Mola	Ground	5	A	10	Ground	6	A	6	26709.0749695524	1.87903878616957E-9	134509.074969553	107800	1.357312891591E-5	8.20966044214498E-13	0	sP3,4(6)	Mola v=0  5  5  1 - v=0  6  3  4
Mola	Ground	5	A	11	Ground	6	A	7	26684.6987868085	1.87797164405643E-9	134509.075136186	107824.376349377	1.35791831947351E-5	8.19085506914699E-13	0	sP3,3(6)	Mola v=0  5  5  0 - v=0  6  3  3
